ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
1350164,Male,Yes,67,Yes,Marketing,1,Low,2,Cat_7,D
1356583,Male,Yes,43,No,Marketing,1,Low,2,Cat_7,D
1356007,Male,Yes,38,No,Marketing,0,High,4,Cat_7,B
1352359,Male,No,57,Yes,Marketing,1,Low,4,Cat_7,A
1351669,Male,No,50,No,Marketing,1,Low,2,Cat_7,C
1349197,Male,No,28,Yes,Marketing,9,Low,5,Cat_7,D
1352584,Female,No,48,Yes,Marketing,0,Low,1,Cat_7,A
1355932,Female,No,35,Yes,Marketing,0,Low,1,Cat_7,D
1351067,Female,No,31,Yes,Marketing,0,Low,9,Cat_7,D
1350855,Female,No,20,No,Marketing,3,Low,4,Cat_7,C
1355544,Male,Yes,89,Yes,Marketing,1,High,2,Cat_6,C
1353045,Male,Yes,88,Yes,Marketing,0,High,2,Cat_6,C
1352205,Male,Yes,72,Yes,Marketing,0,Low,1,Cat_6,A
1355303,Male,Yes,71,No,Marketing,1,Low,1,Cat_6,D
1348367,Male,Yes,70,No,Marketing,1,Low,2,Cat_6,A
1350163,Male,Yes,66,Yes,Marketing,1,High,2,Cat_6,B
1348370,Male,Yes,66,No,Marketing,1,Low,4,Cat_6,D
1353939,Male,Yes,63,Yes,Marketing,1,High,3,Cat_6,C
1352036,Male,Yes,60,Yes,Marketing,1,High,5,Cat_6,C
1356002,Male,Yes,59,Yes,Marketing,0,Average,3,Cat_6,B
1348674,Male,Yes,57,No,Marketing,1,High,3,Cat_6,A
1352589,Male,Yes,52,Yes,Marketing,1,High,4,Cat_6,C
1350131,Male,Yes,49,Yes,Marketing,0,Low,5,Cat_6,D
1353286,Male,Yes,48,No,Marketing,0,Low,5,Cat_6,D
1350296,Male,Yes,46,Yes,Marketing,1,Low,3,Cat_6,D
1353177,Male,Yes,42,No,Marketing,1,Low,3,Cat_6,A
1351940,Male,Yes,37,Yes,Marketing,1,Low,2,Cat_6,D
1349270,Male,Yes,32,No,Marketing,4,Low,3,Cat_6,D
1356152,Male,Yes,19,No,Marketing,2,High,5,Cat_6,C
1353103,Male,No,72,No,Marketing,1,Low,2,Cat_6,D
1356566,Male,No,56,No,Marketing,1,Low,2,Cat_6,D
1349621,Male,No,50,Yes,Marketing,3,Low,4,Cat_6,D
1348852,Male,No,47,Yes,Marketing,1,Low,1,Cat_6,A
1353098,Male,No,43,Yes,Marketing,0,Low,2,Cat_6,A
1355673,Male,No,41,Yes,Marketing,0,Low,2,Cat_6,D
1348210,Male,No,36,Yes,Marketing,0,Low,1,Cat_6,A
1350736,Male,No,36,No,Marketing,0,Low,2,Cat_6,D
1350288,Male,No,36,No,Marketing,0,Low,1,Cat_6,D
1348218,Male,No,33,No,Marketing,11,Low,9,Cat_6,D
1352296,Male,No,33,No,Marketing,2,Low,3,Cat_6,D
1348930,Male,No,32,Yes,Marketing,8,Low,1,Cat_6,D
1352945,Male,No,32,Yes,Marketing,0,Low,5,Cat_6,B
1353453,Male,No,30,Yes,Marketing,12,Low,4,Cat_6,D
1350488,Male,No,30,Yes,Marketing,1,Low,5,Cat_6,C
1350519,Male,No,29,No,Marketing,8,Low,5,Cat_6,C
1352267,Male,No,29,No,Marketing,1,Low,7,Cat_6,D
1352505,Male,No,29,No,Marketing,1,Low,2,Cat_6,D
1348639,Male,No,28,No,Marketing,0,Low,6,Cat_6,B
1349287,Male,No,26,Yes,Marketing,10,Low,1,Cat_6,D
1351846,Male,No,26,No,Marketing,1,Low,5,Cat_6,D
1352827,Male,No,26,No,Marketing,0,Low,5,Cat_6,D
1354843,Male,No,25,Yes,Marketing,8,Low,3,Cat_6,A
1352776,Male,No,23,No,Marketing,0,Low,3,Cat_6,D
1347973,Male,No,22,No,Marketing,4,Low,3,Cat_6,A
1349634,Male,No,22,No,Marketing,1,Low,3,Cat_6,A
1351071,Male,No,22,No,Marketing,0,Low,4,Cat_6,D
1355499,Male,No,21,No,Marketing,7,Low,3,Cat_6,B
1349858,Male,No,21,No,Marketing,1,Low,5,Cat_6,B
1350199,Male,No,20,No,Marketing,0,Low,4,Cat_6,C
